surveyId,lang,country,countryPop,sneType,party.string,euFundRec,mlgS1,mlgS2,mlgS3,mlgS4,mlgS5,mlgC1,mlgC2,euCompSocpol,euCompEc,euCompInAf,euCompForAf,euCompOv,snaCompSocpol,snaCompEc,snaCompInAf,snaCompForAf,snaCompOv,snaCompC1,snaCompC2,effectiveIntOrg,effectiveDirRel,effectiveNatDel,intorgUseEc,intorgUsePol,intorgUseCul,intorgUseOv,euFundImp,euFundImp.bin,represent,represent.bin,norepSneRep,norepKnow,norepMotiv,norepOpin,repTime,repDur,repSatis,repPersImp,repBenEc,repBenPol,repBenDem,repBenMlg,repOp,repVoteCom,repVoteNatDel,repVoteParty,repVoteSne,extOffice,extOfficeBin,nooffSneOff,noooffKnow,nooffMotiv,extOffTime,extOffDur,extOffSatis,extOffPersImp,age,gender,eduLev,polLeftRight,polIdLoc,polIdNat,polIdEu,polIdCul,polIdIdeo
1351,en,United Kingdom,65081000,Local,Labour Party,1,4,4,4,5,4,NA,NA,4,4,4,4,4,4,4,4,4,4,5,4,1,1,1,3,3,3,3,4,1,NONE,0,0,1,1,MORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,1,1,,NA,NA,NA,55,Male,2,2,1,0,0,0,1
1352,de,Switzerland,8265000,RegionLeg,CVP Christlich Demokratische Volkspartei,0,2,2,2,4,3,4,4,3,4,3,3,3,4,4,4,3,4,5,1,0,0,0,3,3,3,3,2,0,NONE,0,0,2,3,SAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,2,3,,NA,NA,NA,68,Male,2,6,1,0,0,0,1
1353,en,United Kingdom,65081000,Local,Liberal Democrat,1,NA,2,1,1,2,NA,NA,3,5,3,5,4,5,4,2,1,4,5,5,0,1,0,1,1,1,1,3,1,NONE,0,0,5,NA,SAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,1,1,,NA,NA,NA,31,Male,2,4,1,0,0,0,1
1354,en,Netherlands,16933000,Local,Party for Freedom,0,1,1,1,5,1,1,3,1,1,1,1,1,1,3,4,3,2,1,3,1,1,1,4,1,1,1,1,0,NONE,0,0,3,4,LESS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,2,1,,NA,NA,NA,27,Male,3,6,1,0,0,0,1
1356,en,Norway,5194000,Local,Labour,0,2,5,2,4,NA,3,3,4,4,2,2,4,4,2,2,2,3,2,4,1,1,0,2,2,4,2,3,1,NONE,0,1,3,2,SAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,1,2,2,,NA,NA,NA,38,Male,3,4,1,0,0,0,1
1357,de,Germany,81276000,RegionLeg,BÅndnis 90/Die GrÅnen,1,4,4,4,1,1,3,5,4,4,4,4,4,2,2,1,1,2,5,3,0,1,1,5,2,3,4,4,1,OTHER,1,,NA,NA,NA,CURRENT,5,1,3,2,2,2,2,MORE,NA,NA,NA,NA,NONE,0,1,2,1,,NA,NA,NA,59,Male,2,3,1,1,0,0,1
1359,en,United Kingdom,65081000,Local,liberal democrat,0,4,3,4,2,4,NA,NA,5,4,4,4,5,4,4,2,2,4,NA,NA,0,1,0,2,2,1,1,3,1,NONE,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,1,2,4,,NA,NA,NA,47,Female,2,3,1,0,0,0,1
1360,de,Germany,81276000,Local,BÅndnis 90/ Die GrÅnen,1,3,4,4,5,4,3,3,5,5,5,5,5,3,1,3,3,3,2,4,1,1,0,5,4,3,4,4,1,NONE,0,1,3,3,SAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,1,1,,NA,NA,NA,36,Male,2,4,1,0,0,0,1
1362,es,Spain,46335000,RegionLeg,Partido Socialista Obrero Espa§ol (PSOE).,0,5,5,4,2,2,NA,NA,2,4,5,5,5,4,4,2,2,4,5,4,1,0,1,4,2,5,4,4,1,NONE,0,1,3,5,SAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,2,5,,NA,NA,NA,44,Female,3,3,1,1,1,0,1
1366,en,Netherlands,16933000,RegionAd,D66,0,2,5,2,4,4,5,5,5,5,5,5,5,1,4,1,1,3,4,4,0,1,0,NA,NA,NA,NA,3,1,NONE,0,1,2,4,SAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,1,2,4,,NA,NA,NA,53,Male,3,4,1,0,0,0,1
1367,en,Sweden,9794000,Local,liberal party (folkpartiet),0,2,2,2,5,1,NA,5,2,5,3,2,4,4,3,1,1,4,5,4,1,1,1,4,2,2,3,2,0,NONE,0,0,1,1,SAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,2,1,,NA,NA,NA,53,Female,3,6,1,0,0,0,1
1368,fr,Belgium,11259000,RegionAd,Parti Socialiste,0,5,5,4,5,4,3,3,5,3,2,4,3,2,4,2,5,3,4,4,0,1,1,4,2,4,4,3,1,OTHER,1,,NA,NA,NA,CURRENT,4,3,4,3,3,3,3,SAME,NA,NA,NA,NA,NONE,0,1,2,4,,NA,NA,NA,58,Male,2,1,1,0,0,0,1
1369,de,Switzerland,8265000,RegionLeg,FDP,0,4,4,3,4,3,3,3,3,4,2,4,3,4,3,4,2,3,5,4,0,1,0,4,3,4,3,2,0,NONE,0,1,3,4,SAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,1,4,,NA,NA,NA,52,Male,3,6,1,0,1,1,1
1372,en,Norway,5194000,Local,Hõyre,0,2,5,5,4,4,2,4,5,5,4,3,4,5,2,2,2,4,5,2,1,1,0,2,2,4,3,1,0,NONE,0,1,3,4,MORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,3,3,,NA,NA,NA,25,Female,2,6,1,0,0,0,1
1379,fr,Switzerland,8265000,RegionLeg,MCG,0,5,4,1,1,3,NA,4,2,4,4,4,4,4,4,2,2,3,4,2,0,1,0,5,4,4,4,2,0,NONE,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,NA,NA,,NA,NA,NA,65,Male,3,8,1,0,0,0,1
1381,fr,Switzerland,8265000,RegionLeg,UDC,0,5,3,3,5,3,4,NA,2,3,1,3,1,4,2,5,3,5,5,5,0,1,0,4,2,2,2,1,0,NONE,0,0,3,4,MORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,2,NA,,NA,NA,NA,57,Male,1,7,1,1,0,0,1
1382,de,Netherlands,16933000,Local,VVD (Ñhnlich wie LibDem im VK),1,4,5,4,2,2,4,5,2,5,4,4,4,5,3,3,2,3,2,5,1,1,0,4,2,3,3,3,1,OTHER,1,,NA,NA,NA,PAST,3,4,5,2,4,5,4,SAME,NA,NA,NA,NA,NONE,0,1,2,3,,NA,NA,NA,44,Male,2,7,1,0,0,0,1
1383,en,Estonia,1315000,Local,Isamaa and Pro Patria Union (EPP member),1,4,5,5,5,5,5,5,4,5,4,4,4,5,4,4,4,5,4,5,1,1,1,NA,4,4,4,4,1,COR,1,,NA,NA,NA,PAST,5,5,5,3,4,5,5,MORE,4,4,4,4,NONE,0,0,3,NA,,NA,NA,NA,37,Female,3,8,1,1,0,0,0
1384,en,United Kingdom,65081000,RegionAd,Labour Party,1,5,4,4,3,2,3,4,4,4,3,3,4,4,4,3,2,4,5,4,0,1,1,4,3,4,4,3,1,NONE,0,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,NA,2,,NA,NA,NA,45,Female,3,3,1,0,0,0,1
1388,en,United Kingdom,65081000,Local,scottish green party,1,5,5,5,4,5,2,4,2,4,4,5,4,5,4,4,2,NA,3,5,1,1,1,5,4,4,4,3,1,NONE,0,1,3,5,MORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,1,2,3,,NA,NA,NA,NA,Female,3,3,1,0,0,0,1
1389,it,Italy,60963000,RegionLeg,FORZA ITALIA,1,5,5,4,4,4,5,5,5,4,4,5,4,2,4,4,3,4,5,4,0,1,1,5,5,5,5,4,1,NONE,0,1,2,5,MORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,1,3,5,,NA,NA,NA,62,Male,2,9,1,1,1,0,1
1391,en,United Kingdom,65081000,RegionAd,Conservative,1,4,4,4,4,4,4,3,4,5,4,3,4,4,4,3,3,4,2,4,1,1,1,4,5,4,4,3,1,NONE,0,1,2,4,SAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,1,2,4,,NA,NA,NA,72,Male,2,8,1,1,0,0,1
1392,en,Netherlands,16933000,RegionAd,VVD,1,4,4,4,3,4,4,4,4,5,5,5,5,4,5,4,4,4,4,5,1,1,1,5,4,4,4,4,1,NONE,0,0,3,5,MORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,1,3,4,,NA,NA,NA,48,NA,3,7,1,0,0,0,1
1395,fr,Belgium,11259000,RegionAd,MR,1,5,4,4,3,4,4,5,4,5,4,5,4,4,5,4,4,4,5,2,1,1,1,3,3,3,3,4,1,NONE,0,0,4,4,SAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,2,3,,NA,NA,NA,67,Male,3,8,1,0,0,0,1
1397,en,Greece,10769000,Local,New Democracy,1,5,5,5,5,4,1,3,5,5,4,4,4,4,4,4,3,3,4,5,1,1,1,4,3,5,4,4,1,COR,1,,NA,NA,NA,PAST,5,5,5,4,4,4,5,MORE,5,4,4,5,NONE,0,1,4,5,,NA,NA,NA,65,Male,3,6,1,0,1,1,0
1401,it,Croatia,4230000,RegionAd,SDP,1,5,5,5,5,5,4,4,2,4,5,5,3,5,4,4,4,4,2,4,1,1,1,5,5,5,5,4,1,NONE,0,1,2,4,MORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,2,4,,NA,NA,NA,49,Female,NA,1,1,0,0,0,1
1402,de,Germany,81276000,RegionLeg,BÅndnis 90/Die GrÅnen,1,4,3,4,5,4,5,4,4,5,5,5,5,4,3,4,2,3,5,3,1,0,1,5,5,4,5,4,1,NONE,0,1,3,4,SAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,1,4,5,,NA,NA,NA,36,Male,2,3,1,1,1,0,1
